Year,Month,Monthly milk production (in millions of pounds),Number of States,Estimated production USA (in millions of pounds),,
1990,July,10691,21,12669,,
1990,August,10476,21,12414,,
1990,September,9973,21,11818,,
1990,October,10223,21,12114,,
1990,November,9998,21,11848,,
1990,December,10467,21,12403,,
1991,January,10645,21,12614,,
1991,February,9922,21,11758,,
1991,March,11084,21,13135,,
1991,April,10918,21,12938,,
1991,May,11240,21,13319,,
1991,June,10570,21,12525,,
1991,July,10472,21,12409,,
1991,August,10349,21,12264,,
1991,September,9927,21,11763,,
1991,October,10212,21,12101,,
1991,November,9926,21,11762,,
1991,December,10418,21,12345,,
1992,January,10715,21,12697,,
1992,February,10251,21,12147,,
1992,March,11096,21,13149,,
1992,April,10850,21,12857,,
1992,May,11280,21,13367,,
1992,June,10897,21,12913,,
1992,July,10900,21,12917,,
1992,August,10673,21,12648,,
1992,September,10263,21,12162,,
1992,October,10532,21,12480,,
1992,November,10184,21,12068,,
1992,December,10659,21,12631,,
1993,January,10728,21,12713,,
1993,February,9908,21,11741,,
1993,March,11060,21,13106,,
1993,April,10927,21,12948,,
1993,May,11410,21,13521,,
1993,June,10940,21,12964,,
1993,July,10913,21,12932,,
1993,August,10573,21,12529,,
1993,September,10138,21,12014,,
1993,October,10331,21,12242,,
1993,November,9994,21,11843,,
1993,December,10461,21,12396,1.185,New Mexico was 2.4 % in 1994
1994,January,10870,22,12619,,
1994,February,9990,22,11597,,
1994,March,11315,22,13136,,
1994,April,11282,22,13097,,
1994,May,11799,22,13697,,
1994,June,11249,22,13059,,
1994,July,11260,22,13072,,
1994,August,11102,22,12888,,
1994,September,10689,22,12409,,
1994,October,10970,22,12735,,
1994,November,10624,22,12333,,
1994,December,11090,22,12874,,
1995,January,11296,22,13113,,
1995,February,10423,22,12100,1.161,From  1995 doc
1995,March,11709,22,13593,,
1995,April,11501,22,13351,,
1995,May,11959,22,13883,,
1995,June,11465,22,13310,,
1995,July,11397,22,13231,,
1995,August,11086,22,12870,,
1995,September,10729,22,12455,,
1995,October,10978,22,12744,,
1995,November,10616,22,12324,,
1995,December,11088,22,12872,,
1996,January,11100,20,13082,1.179,
1996,February,10545,20,12427,1.178,
1996,March,11483,20,13533,1.179,
1996,April,11260,20,13225,1.175,
